pi03    70,55,345,410
pi07    154,50,315,395
pi08    41,48,335,407
pi09    85,42,327,390
pi10    105,40,315,383
pi11    75,48,316,402
pi12    93,45,403,432
pi13    84,44,331,400
pi14    71,55,344,421
pi15    96,29,335,402
pi17    97,30,336,404
pi19    112,38,335,425
pi20    70,42,335,405
pi21    90,37,335,405
pi22    68,81,324,406
pi23    41,0,334,336
pi24    41,109,348,395
